Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-05-31 00:00:00 UTC,"Apple Says With Health and Safety of Its Teams in Mind, Decided to Keep Number of Its Stores in the U.S. Closed on Sunday",AAPL,https://www.benzinga.com/news/20/05/16146213/apple-says-with-health-and-safety-of-its-teams-in-mind-decided-to-keep-number-of-its-stores-in-the-u,Charles Gross,,,,,,
2020-05-29 00:00:00 UTC,"Costco Shares Come Under Pressure Despite Strong Earnings, Same-Store Sales",AAPL,https://www.benzinga.com/government/20/05/16138428/costco-shares-come-under-pressure-despite-strong-earnings-same-store-sales,JJ Kinahan,,,,,,
2020-05-28 00:00:00 UTC,Trump's Executive Order To Expose Social Media To Lawsuits Over Content Policies,AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16128213/trumps-executive-order-to-expose-social-media-to-lawsuits-over-content-policies,Elizabeth Balboa,,,,,,
2020-05-28 00:00:00 UTC,Costco Earnings On Tap After Close As Investors Mull Strong Toll Brothers Results,AAPL,https://www.benzinga.com/news/20/05/16127758/costco-earnings-on-tap-after-close-as-investors-mull-strong-toll-brothers-results,JJ Kinahan,,,,,,
2020-05-28 00:00:00 UTC,Martin Scorsese's Next Movie Will Be Financed By Apple: Report,AAPL,https://www.benzinga.com/news/20/05/16124204/martin-scorseses-next-movie-will-be-financed-by-apple-report,Shivdeep Dhaliwal,,,,,,
2020-05-28 00:00:00 UTC,"Tech Companies Aren't 'State Actors,' Judge Dismisses Conservative Bias Lawsuit Against Facebook, Twitter, Google, Apple",AAPL,https://www.benzinga.com/news/20/05/16124533/tech-companies-arent-state-actors-judge-dismisses-conservative-bias-lawsuit-against-facebook-twitter,Neer Varshney,,,,,,
2020-05-27 00:00:00 UTC,Leidos Awarded $84.6M Payment from VirnetX Lawsuit vs Apple,AAPL,https://www.benzinga.com/news/20/05/16123778/leidos-awarded-84-6m-payment-from-virnetx-lawsuit-vs-apple,Charles Gross,,,,,,
2020-05-27 00:00:00 UTC,The Most Popular Smartphone Model Of Q1,AAPL,https://www.benzinga.com/news/20/05/16115833/the-most-popular-smartphone-model-of-q1,Shanthi Rexaline,,,,,,
2020-05-27 00:00:00 UTC,This New Tool Will Tell You Whether Or Not An Options Spread Is A Good Deal,AAPL,https://www.benzinga.com/general/education/20/05/16120055/this-new-tool-will-tell-you-whether-or-not-an-options-spread-is-a-good-deal,Spencer Israel,,,,,,
2020-05-27 00:00:00 UTC,"B of A Securities Maintains Buy on Apple, Raises Price Target to $340",AAPL,https://www.benzinga.com/news/20/05/16117795/b-of-a-securities-maintains-buy-on-apple-raises-price-target-to-340,Vick Meyer,,,,,,
2020-05-27 00:00:00 UTC,3 Apple Analysts Lift Price Targets: Why They're Optimistic On iPhone's Trajectory,AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16116516/3-apple-analysts-lift-price-targets-why-theyre-optimistic-on-iphones-trajectory,Shanthi Rexaline,,,,,,
2020-05-27 00:00:00 UTC,'LG reportedly supplying 20 million OLED panels for 'iPhone 12 Max'' -AppleInsider,AAPL,https://www.benzinga.com/news/20/05/16115993/lg-reportedly-supplying-20-million-oled-panels-for-iphone-12-max-appleinsider,Benzinga Newsdesk,,,,,,
2020-05-27 00:00:00 UTC,Same Old Leadership Song Lifts These Leveraged ETFs,AAPL,https://www.benzinga.com/trading-ideas/long-ideas/20/05/16112730/same-old-leadership-song-lifts-these-leveraged-etfs,ETF Professor,,,,,,
2020-05-27 00:00:00 UTC,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $320",AAPL,https://www.benzinga.com/news/20/05/16114459/deutsche-bank-maintains-buy-on-apple-raises-price-target-to-320,Benzinga_Newsdesk,,,,,,
2020-05-27 00:00:00 UTC,YouTube Makes Its Dedicated Children App Available On Apple TV,AAPL,https://www.benzinga.com/news/20/05/16113144/youtube-makes-its-dedicated-children-app-available-on-apple-tv,Neer Varshney,,,,,,
2020-05-27 00:00:00 UTC,Samsung Display Secures Majority of Panel Orders for Next-gen iPhone,AAPL,https://www.benzinga.com/news/20/05/16113529/samsung-display-secures-majority-of-panel-orders-for-next-gen-iphone,Charles Gross,,,,,,
2020-05-26 00:00:00 UTC,Study: 34% Of Americans Report Looking Through Their Partner's Phone Without Permission,AAPL,https://www.benzinga.com/general/education/20/05/16100606/study-34-of-americans-report-looking-through-their-partners-phone-without-permission,Henry Khederian,,,,,,
2020-05-26 00:00:00 UTC,Apple To Reopen ~100 More US Stores This Week,AAPL,https://www.benzinga.com/news/20/05/16108713/apple-to-reopen-100-more-us-stores-this-week,Benzinga Newsdesk,,,,,,
2020-05-26 00:00:00 UTC,"'FAANG Stocks Are Strong Once Again,' Facebook, Amazon, Netflix Hit Record Highs Last Week",AAPL,https://www.benzinga.com/news/20/05/16103196/faang-stocks-are-strong-once-again-facebook-amazon-netflix-hit-record-highs-last-week,Neer Varshney,,,,,,
2020-05-25 00:00:00 UTC,Apple Expected to Incorporate Ambient Light Sensors in Next-generation Airpods Devices,AAPL,https://www.benzinga.com/news/20/05/16101534/apple-expected-to-incorporate-ambient-light-sensors-in-next-generation-airpods-devices,Charles Gross,,,,,,
2020-05-22 00:00:00 UTC,The Secret to Tech's Resilience to COVID-19- Infrastructure Expansion,AAPL,https://www.benzinga.com/news/earnings/20/05/16093892/the-secret-to-techs-resilience-to-covid-19-infrastructure-expansion,IAM Newswire,,,,,,
2020-05-21 00:00:00 UTC,"Apple Is Seeking An Executive To Lead Original Podcast Effort, Is Buying Original Podcasts That Would Be Exclusive; New Podcasts Will Help Promote TV+ Video Service",AAPL,https://www.benzinga.com/tech/20/05/16088267/apple-is-seeking-an-executive-to-lead-original-podcast-effort-is-buying-original-podcasts-that-would,Benzinga Newsdesk,,,,,,
2020-05-21 00:00:00 UTC,Evercore ISI Analyst Amit DAryanani Says Apple Can Exceed $100 Billion In Services Revenue In The Fiscal Year Ending In September 2024,AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16088238/evercore-isi-analyst-amit-daryanani-says-apple-can-exceed-100-billion-in-services-r,Benzinga Newsdesk,,,,,,
2020-05-21 00:00:00 UTC,Apple Vs. Tesla: Morgan Stanley Breaks Down The Parallels,AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16084937/apple-vs-tesla-morgan-stanley-breaks-down-the-parallels,Elizabeth Balboa,,,,,,
2020-05-21 00:00:00 UTC,"As The Global Economy Weighs Fears Of A Recession, Travel Is Already In A Depression",AAPL,https://www.benzinga.com/news/20/05/16086804/as-the-global-economy-weighs-fears-of-a-recession-travel-is-already-in-a-depression,IAM Newswire,,,,,,
2020-05-21 00:00:00 UTC,Hearing Evercore ISI Raises Price Target On Apple From $330 To $345,AAPL,https://www.benzinga.com/news/20/05/16083197/hearing-evercore-isi-raises-price-target-on-apple-from-330-to-345,Benzinga Newsdesk,,,,,,
2020-05-20 00:00:00 UTC,Apple's Face ID Will Allow Mask Wearing Users To Unlock Their Phones Quickly,AAPL,https://www.benzinga.com/news/20/05/16081929/apples-face-id-will-allow-mask-wearing-users-to-unlock-their-phones-quickly,Shivdeep Dhaliwal,,,,,,
2020-05-20 00:00:00 UTC,'COVID-19 exposure notification settings begin to go live for iOS users with new update' -TechCrunch,AAPL,https://www.benzinga.com/news/20/05/16077723/covid-19-exposure-notification-settings-begin-to-go-live-for-ios-users-with-new-update-techcrunch,Benzinga Newsdesk,,,,,,
2020-05-20 00:00:00 UTC,Facebook Plans To Resume Work In Office In July At 25% Capacity And Safety Measures In Place,AAPL,https://www.benzinga.com/news/20/05/16072397/facebook-plans-to-resume-work-in-office-since-july-at-25-capacity-and-safety-measures-in-place,Neer Varshney,,,,,,
2020-05-20 00:00:00 UTC,"A Peek Into The Markets: US Stock Futures Climb Ahead Of Earnings, Fed Minutes",AAPL,https://www.benzinga.com/news/earnings/20/05/16073047/a-peek-into-the-markets-us-stock-futures-climb-ahead-of-target-lowes-earnings,Lisa Levin,,,,,,
2020-05-20 00:00:00 UTC,Why Sony Sold Streaming Rights For Tom Hanks Movie To Apple Instead Of Waiting Out The Pandemic,AAPL,https://www.benzinga.com/news/20/05/16072155/why-sony-sold-streaming-rights-for-tom-hanks-movie-to-apple-instead-of-waiting-out-the-pandemic,Neer Varshney,,,,,,
2020-05-20 00:00:00 UTC,Smartphone Sales Picking up in China,AAPL,https://www.benzinga.com/news/20/05/16072691/smartphone-sales-picking-up-in-china,Benzinga Newsdesk,,,,,,
2020-05-20 00:00:00 UTC,"Apple Looking To Diversify Its Manufacturing Base, Will Make Headphones In Vietnam",AAPL,https://www.benzinga.com/news/20/05/16071474/apple-looking-to-diversify-its-manufacturing-base-will-make-headphones-in-vietnam,Shivdeep Dhaliwal,,,,,,
2020-05-19 00:00:00 UTC,Telemedicine A COVID-19 Winner,AAPL,https://www.benzinga.com/markets/20/05/16066297/telemedicine-a-covid-19-winner,IAM Newswire,,,,,,
2020-05-19 00:00:00 UTC,"Walmart Earnings Look Strong Across the Board, But Home Depot Down After Missing on EPS",AAPL,https://www.benzinga.com/markets/20/05/16065422/walmart-earnings-look-strong-across-the-board-but-home-depot-down-after-missing-on-eps,JJ Kinahan,,,,,,
2020-05-19 00:00:00 UTC,Sony To Convert Its Financial Subsidiary Into Wholly Owned Unit Through $3.7B Tender Offer,AAPL,https://www.benzinga.com/fintech/20/05/16061824/sony-to-convert-its-financial-subsidiary-into-wholly-owned-unit-through-3-7b-tender-offer,Shivdeep Dhaliwal,,,,,,
2020-05-19 00:00:00 UTC,"'Apple buys older shows for TV+, stepping up Netflix challenge' -Earlier SCMP Report",AAPL,https://www.benzinga.com/news/20/05/16063596/apple-buys-older-shows-for-tv-stepping-up-netflix-challenge-earlier-scmp-report,Benzinga Newsdesk,,,,,,
2020-05-18 00:00:00 UTC,"Here's How Much Investing $1,000 In The 2015 Fitbit IPO Would Be Worth Today",AAPL,https://www.benzinga.com/general/education/20/05/16057394/heres-how-much-investing-1-000-in-the-2015-fitbit-ipo-would-be-worth-today,Wayne Duggan,,,,,,
2020-05-18 00:00:00 UTC,"More Than 25 US Apple Stores To Reopen, 100 Now Open Around The World",AAPL,https://www.benzinga.com/news/20/05/16052612/more-than-25-us-apple-stores-to-reopen-100-now-open-around-the-world,Shivdeep Dhaliwal,,,,,,
2020-05-17 00:00:00 UTC,"Barron's Picks And Pans: Cisco, Gilead, Netflix, Wayfair And More",AAPL,https://www.benzinga.com/top-stories/20/05/16051966/barrons-picks-and-pans-cisco-gilead-netflix-wayfair-and-more,Nelson Hem,,,,,,
2020-05-16 00:00:00 UTC,"Ubisoft Sues Apple, Google Over Alibaba's Rainbow Six ""Ripoff""",AAPL,https://www.benzinga.com/news/20/05/16052003/ubisoft-sues-apple-google-over-alibabas-rainbow-six-ripoff,Charles Gross,,,,,,
2020-05-15 00:00:00 UTC,13F From Buffett's Berkshire Shows Maintained Stake In Apple,AAPL,https://www.benzinga.com/news/20/05/16048421/13f-from-buffetts-berkshire-shows-maintained-stake-in-apple,Benzinga Newsdesk,,,,,,
2020-05-15 00:00:00 UTC,US To Block Shipments Of Semiconductors To Huawei: Report,AAPL,https://www.benzinga.com/news/20/05/16043843/us-to-block-shipments-of-semiconductors-to-huawei-report,Tanzeel Akhtar,,,,,,
2020-05-15 00:00:00 UTC,Quick Retreat: Impressive Thursday Turnaround Halted in Its Tracks Amid Fresh Trade Tiff,AAPL,https://www.benzinga.com/news/20/05/16043881/quick-retreat-impressive-thursday-turnaround-halted-in-its-tracks-amid-fresh-trade-tiff,JJ Kinahan,,,,,,
2020-05-15 00:00:00 UTC,Apple shares are trading lower on reports the company is among those China could retaliate against after the US announced it will block chip shipments from Huawei.,AAPL,https://www.benzinga.com/wiim/20/05/16043287/apple-shares-are-trading-lower-on-reports-the-company-is-among-those-china-could-retaliate-against-a,Benzinga Newsdesk,,,,,,
2020-05-15 00:00:00 UTC,"China's Global Times Mentions Qualcomm, Cisco, Apple And Boeing As 'four companies named by Chinese sources as possible targets for retaliation amid US moves against China's Huawei'",AAPL,https://www.benzinga.com/news/20/05/16042067/chinas-global-times-mentions-qualcomm-cisco-apple-and-boeing-as-four-companies-named-by-chinese-sour,Benzinga Newsdesk,,,,,,
2020-05-15 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Up Ahead Of Economic Reports,AAPL,https://www.benzinga.com/news/earnings/20/05/16040592/a-peek-into-the-markets-us-stock-futures-up-ahead-of-economic-reports,Lisa Levin,,,,,,
2020-05-15 00:00:00 UTC,Amazon To Manufacture Face Shields And Sell Them At Cost,AAPL,https://www.benzinga.com/news/20/05/16039930/amazon-to-manufacture-face-shields-and-sell-them-at-cost,Shivdeep Dhaliwal,,,,,,
2020-05-14 00:00:00 UTC,Taiwanese Apple Supplier TSMC To Build $12B US Chip Factory After Months Of Pressure From Trump Administration,AAPL,https://www.benzinga.com/government/20/05/16039980/taiwanese-apple-supplier-tsmc-to-build-12b-us-chip-factory-after-months-of-pressure-from-trump-admin,Neer Varshney,,,,,,
2020-05-14 00:00:00 UTC,Apple Confirms Acquisition Of Virtual Reality Startup NextVR,AAPL,https://www.benzinga.com/m-a/20/05/16039893/apple-confirms-acquisition-of-virtual-reality-startup-nextvr,Neer Varshney,,,,,,
2020-05-14 00:00:00 UTC,'Apple supplier TSMC is reportedly building an Arizona chip plant' -The Verge,AAPL,https://www.benzinga.com/tech/20/05/16038329/apple-supplier-tsmc-is-reportedly-building-an-arizona-chip-plant-the-verge,Benzinga Newsdesk,,,,,,
2020-05-14 00:00:00 UTC,"'Apple's computerized glasses won't be ready until 2022 'at the earliest,' top analyst says' -CNBC Article",AAPL,https://www.benzinga.com/news/20/05/16035352/apples-computerized-glasses-wont-be-ready-until-2022-at-the-earliest-top-analyst-says-cnbc-article,Benzinga Newsdesk,,,,,,
2020-05-14 00:00:00 UTC,The Mixed Sony Effect,AAPL,https://www.benzinga.com/news/earnings/20/05/16032933/the-mixed-sony-effect,IAM Newswire,,,,,,
2020-05-14 00:00:00 UTC,Report: FBI Seizes Sen. Richard Burr's Phone In Investigation Of Coronavirus Stock Sell-Off,AAPL,https://www.benzinga.com/news/20/05/16030695/report-fbi-seizes-sen-richard-burrs-phone-in-investigation-of-coronavirus-stock-sell-off,Tanzeel Akhtar,,,,,,
2020-05-13 00:00:00 UTC,Apple Plans To Bring Employees Back To Office Even As Tech Peers Hold Off,AAPL,https://www.benzinga.com/news/20/05/16023383/apple-plans-to-bring-employees-back-to-office-even-as-tech-peers-hold-off,Shanthi Rexaline,,,,,,
2020-05-13 00:00:00 UTC,"Retail Pro Says Giants Like Amazon, Walmart Will Prevail After Coronavirus: 'It's Not Fair'",AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16017455/retail-pro-says-giants-like-amazon-walmart-will-prevail-after-coronavirus-its-not-f,Jayson Derrick,,,,,,
2020-05-13 00:00:00 UTC,"Apple Encourages Chinese Tech Company To Rival Foxconn, Aims To Foster Competition",AAPL,https://www.benzinga.com/news/20/05/16018605/apple-encourages-chinese-tech-company-to-rival-foxconn-aims-to-foster-competition,Shivdeep Dhaliwal,,,,,,
2020-05-12 00:00:00 UTC,Apple Plans for More Workers to Go Back to Offices Over Months,AAPL,https://www.benzinga.com/news/20/05/16016882/apple-plans-for-more-workers-to-go-back-to-offices-over-months,Charles Gross,,,,,,
2020-05-12 00:00:00 UTC,"""Stay at Home"" Stocks Still Rule the Roost as Nvidia, Microsoft, Apple Start Week Firmly",AAPL,https://www.benzinga.com/news/earnings/20/05/16014775/stay-at-home-stocks-still-rule-the-roost-as-nvidia-microsoft-apple-start-week-firmly,JJ Kinahan,,,,,,
2020-05-12 00:00:00 UTC,"Caution Ahead: Biggest Blue-Chips Seek Change, Innovation Post-COVID-19",AAPL,https://www.benzinga.com/markets/20/05/16012406/caution-ahead-biggest-blue-chips-seek-change-innovation-post-covid-19,IAM Newswire,,,,,,
2020-05-12 00:00:00 UTC,"Analyst Polishes Apple Price Target On 'Teflon-Like' Services, iPhone 12 Outlook",AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16010047/wedbush-polishes-apple-price-target-on-teflon-like-services-iphone-12-outlook,Elizabeth Balboa,,,,,,
2020-05-12 00:00:00 UTC,"Wedbush Maintains Outperform on Apple, Raises Price Target to $350",AAPL,https://www.benzinga.com/news/20/05/16010010/wedbush-maintains-outperform-on-apple-raises-price-target-to-350,Vick Meyer,,,,,,
2020-05-12 00:00:00 UTC,Apple Unveils Update To Logic Pro,AAPL,https://www.benzinga.com/tech/20/05/16009887/apple-unveils-update-to-logic-pro,Benzinga Newsdesk,,,,,,
2020-05-12 00:00:00 UTC,Not Just Fun And Games: How Esports Could Offer Potential Investment Opportunities,AAPL,https://www.benzinga.com/general/education/20/05/16008509/not-just-fun-and-games-how-esports-could-offer-potential-investment-opportunities,TD Ameritrade,,,,,,
2020-05-12 00:00:00 UTC,Disney Plans Another Bonds Offering With A Six-Part Deal,AAPL,https://www.benzinga.com/news/20/05/16007581/disney-plans-another-bonds-offering-with-a-six-part-deal,Neer Varshney,,,,,,
2020-05-11 00:00:00 UTC,Cruise Line Earnings Later This Week Could Provide Insight On Brutal Quarter For Industry,AAPL,https://www.benzinga.com/news/earnings/20/05/16001483/cruise-line-earnings-later-this-week-could-provide-insight-on-brutal-quarter-for-industry,JJ Kinahan,,,,,,
2020-05-11 00:00:00 UTC,"Trump, Intel, TSMC Plan US 'Self-Sufficiency' In Semiconductors As Coronavirus Gives Supply-Chain Scare",AAPL,https://www.benzinga.com/government/20/05/15996979/trump-intel-tsmc-plan-us-self-sufficiency-in-semiconductors-as-coronavirus-gives-supply-chain-scare,Neer Varshney,,,,,,
2020-05-09 00:00:00 UTC,"Barron's Picks And Pans: Boyd Gaming, Domino's Pizza, Exxon And More",AAPL,https://www.benzinga.com/media/20/05/15996204/barrons-picks-and-pans-boyd-gaming-dominos-pizza-exxon-and-more,Nelson Hem,,,,,,
2020-05-08 00:00:00 UTC,Apple Option Alert: May 15 $315 Calls Sweep (52) near the Ask: 354 @ $2.154 vs 6982 OI; Ref=$309.45,AAPL,https://www.benzinga.com/news/20/05/15992528/apple-option-alert-may-15-315-calls-sweep-52-near-the-ask-354-2-154-vs-6982-oi-ref-309-45,Charles Gross,,,,,,
2020-05-08 00:00:00 UTC,"Apple To Give Masks To Customers Inside Retail Stores, Company To Let Customers Choose Product Pick Up Times Online",AAPL,https://www.benzinga.com/news/20/05/15992526/apple-to-give-masks-to-customers-inside-retail-stores-company-to-let-customers-choose-product-pick-u,Benzinga Newsdesk,,,,,,
2020-05-08 00:00:00 UTC,"Apple Says Social-Distancing Guidelines Will Limit Number Of Customers In Stores, May Create Delays For Walk-In Customers",AAPL,https://www.benzinga.com/news/20/05/15992299/apple-says-social-distancing-guidelines-will-limit-number-of-customers-in-stores-may-create-delays-f,Benzinga Newsdesk,,,,,,
2020-05-08 00:00:00 UTC,"Apple To Reopen Small Number Of U.S. Stores In Idaho, South Carolina, Alabama And Alaska Starting Next Week; Says It Will Require Customers To Wear Masks, Undergo Temperature Checks Before Entering Stores",AAPL,https://www.benzinga.com/news/20/05/15992294/apple-to-reopen-small-number-of-u-s-stores-in-idaho-south-carolina-alabama-and-alaska-starting-next,Benzinga Newsdesk,,,,,,
2020-05-08 00:00:00 UTC,Apple To Reopen Germany Retail Stores May 11,AAPL,https://www.benzinga.com/news/20/05/15990120/apple-to-reopen-germany-retail-stores-may-11,Benzinga Newsdesk,,,,,,
2020-05-08 00:00:00 UTC,"Along With Dramatic Jobs Data, Investors Scrutinize Recent Earnings From Uber, Square",AAPL,https://www.benzinga.com/news/earnings/20/05/15989774/along-with-dramatic-jobs-data-investors-scrutinize-recent-earnings-from-uber-square,JJ Kinahan,,,,,,
2020-05-08 00:00:00 UTC,Spotify CEO's Apple Barb Backfires As Sonos Points Out The 'Solid Irony',AAPL,https://www.benzinga.com/news/20/05/15986445/spotify-ceos-apple-barb-backfires-as-sonos-points-out-the-solid-irony,Shivdeep Dhaliwal,,,,,,
2020-05-06 00:00:00 UTC,"A Low-Cost, FAAMNG-Heavy ETF For May",AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/15963335/a-low-cost-faamng-heavy-etf-for-may,ETF Professor,,,,,,
2020-05-06 00:00:00 UTC,A Recap Of Social Media Earnings,AAPL,https://www.benzinga.com/news/earnings/20/05/15945240/a-recap-of-social-media-earnings,IAM Newswire,,,,,,
2020-05-06 00:00:00 UTC,"GM, Disney, Beyond Meat Results In Focus, With GM And BYND Getting Early Lift",AAPL,https://www.benzinga.com/news/earnings/20/05/15967081/gm-disney-beyond-meat-results-in-focus-with-gm-and-bynd-getting-early-lift,JJ Kinahan,,,,,,
2020-05-06 00:00:00 UTC,'Microsoft is releasing its new AirPods rival after months of delays — and it's even cheaper than expected' -Recent Business Insider Article,AAPL,https://www.benzinga.com/news/20/05/15966741/microsoft-is-releasing-its-new-airpods-rival-after-months-of-delays-and-its-even-cheaper-than-expect,Benzinga Newsdesk,,,,,,
2020-05-06 00:00:00 UTC,Apple Chassis Maker Catcher Said to be Considering Leaving China to Open Factories in SouthEast Asia,AAPL,https://www.benzinga.com/news/20/05/15963983/apple-chassis-maker-catcher-said-to-be-considering-leaving-china-to-open-factories-in-southeast-asia,Charles Gross,,,,,,
