Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-06-10 11:25:13 UTC,"Facebook, Snap Analyst Projects Q2 Revenue Upside For Social Media Stocks",GOOG,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16223516/facebook-snap-analyst-projects-q2-revenue-upside-for-social-media-stocks,Shanthi Rexaline,,,,,,
2020-06-10 09:18:50 UTC,"How Cannabis Company Cannaphyll Is Marketing On Mass-Consumer Platforms, Google And Amazon",GOOG,https://www.benzinga.com/markets/cannabis/20/06/16224494/how-cannabis-company-cannaphyll-is-marketing-on-mass-consumer-platforms-google-and-amazon,Jaycee Tenn,,,,,,
2020-06-09 20:28:00 UTC,"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture",GOOG,https://www.benzinga.com/news/20/06/16218441/twitter-square-will-mark-juneteenth-as-holiday-to-honor-african-american-culture,Shivdeep Dhaliwal,,,,,,
2020-06-09 10:39:26 UTC,Price Over Earnings Overview: Alphabet,GOOG,https://www.benzinga.com/intraday-update/20/06/16215314/price-over-earnings-overview-alphabet,Benzinga Insights,,,,,,
2020-06-08 23:51:41 UTC,"Google Maps To Offer Relevant Local COVID-19 Information For Public Transport, Driving And Testing Centers",GOOG,https://www.benzinga.com/news/20/06/16208274/google-maps-to-offer-relevant-local-covid-19-information-for-public-transport-driving-and-testing-ce,Shivdeep Dhaliwal,,,,,,
2020-06-08 07:25:53 UTC,"Starting This Week, Testing Center Alerts Will Be Available On Google Maps In U.S.; New Google Maps Features Alert You Of Important COVID-19 Information And Help User Avoid Crowds On Public Transit",GOOG,https://www.benzinga.com/news/20/06/16202989/starting-this-week-testing-center-alerts-will-be-available-on-google-maps-in-u-s-new-google-maps-fea,Benzinga Newsdesk,,,,,,
2020-06-05 09:28:27 UTC,CNBC Publishes Article Titled: States are Leaning Toward a Push to Break Up Google's Ad Tech Business,GOOG,https://www.benzinga.com/news/20/06/16192444/cnbc-publishes-article-titled-states-are-leaning-toward-a-push-to-break-up-googles-ad-tech-business,Luke J Jacobi,,,,,,
2020-06-05 08:53:32 UTC,Congress Is Stepping Up Its Efforts To Kill Payday Loans,GOOG,https://www.benzinga.com/fintech/20/06/15947207/congress-is-stepping-up-its-efforts-to-kill-payday-loans,Spencer Israel,,,,,,
2020-06-05 01:06:43 UTC,Twitter Takes Down Trump Campaign's Video Tribute To George Floyd For Violating Copyright,GOOG,https://www.benzinga.com/news/20/06/16186967/twitter-takes-down-trump-campaigns-video-tribute-to-george-floyd-for-violating-copyright,Neer Varshney,,,,,,
2020-06-04 09:08:37 UTC,UPDATE: Chinese Government-Linked Hackers Recently Attempted To Break Into Presidential Candidate Joe Biden,GOOG,https://www.benzinga.com/news/20/06/16182477/update-chinese-government-linked-hackers-recently-attempted-to-break-into-presidential-candidate-joe,Benzinga Newsdesk,,,,,,
2020-06-02 00:00:00 UTC,MoneyGram Shares Jump 50% As Western Union Reportedly Looks For Acquisition,GOOG,https://www.benzinga.com/m-a/20/06/16156730/moneygram-shares-jump-50-as-western-union-reportedly-looks-for-acquisition,Neer Varshney,,,,,,
2020-06-01 00:00:00 UTC,The First Week of June Is All About the May's Jobs Report,GOOG,https://www.benzinga.com/news/earnings/20/06/16150870/the-first-week-of-june-is-all-about-the-mays-jobs-report,IAM Newswire,,,,,,
2020-06-01 00:00:00 UTC,The 'Real' S&P 500 And Why The Current Rally Makes Sense,GOOG,https://www.benzinga.com/opinion/20/06/16147738/the-real-s-p-500-why-the-current-rally-makes-sense,Eric Mancini,,,,,,
2020-06-01 00:00:00 UTC,"UK Supply Chain Startup Beacon Raises $15M From Amazon CEO, Others",GOOG,https://www.benzinga.com/news/20/06/16146470/uk-supply-chain-startup-beacon-raises-15m-from-amazon-ceo-others,Neer Varshney,,,,,,
2020-05-29 00:00:00 UTC,'DOJ has interviewed multiple Google competitors as it weighs bringing an antitrust case against $GOOGL. The focus of the case is unclear but requests for information have touched on Google's search function and ad tech...' -Tweet From FOX's Gasparino,GOOG,https://www.benzinga.com/news/20/05/16140154/doj-has-interviewed-multiple-google-competitors-as-it-weighs-bringing-an-antitrust-case-against-goog,Benzinga Newsdesk,,,,,,
2020-05-29 00:00:00 UTC,"Fitbit Shares Fall To Session Low As Hearing MLEX Reporting Google's Offer Is Under Probe By Texas Attorney General, Other States",GOOG,https://www.benzinga.com/m-a/20/05/16138851/fitbit-shares-fall-to-session-low-as-hearing-mlex-reporting-googles-offer-is-under-probe-by-texas-at,Benzinga Newsdesk,,,,,,
2020-05-29 00:00:00 UTC,'Google Rescinds Offers to Thousands of Contract Workers' -NY Times,GOOG,https://www.benzinga.com/news/20/05/16136963/google-rescinds-offers-to-thousands-of-contract-workers-ny-times,Benzinga Newsdesk,,,,,,
2020-05-29 00:00:00 UTC,'Google Rescinds Offers to Thousands of Contract Workers' -NY Times,GOOG,https://www.benzinga.com/news/20/05/16136962/google-rescinds-offers-to-thousands-of-contract-workers-ny-times,Benzinga Newsdesk,,,,,,
2020-05-29 00:00:00 UTC,Trump Signs Executive Order To End Social Media Legal Immunity For Third-Party Content,GOOG,https://www.benzinga.com/government/20/05/16134674/trump-signs-executive-order-to-end-social-media-legal-immunity-for-third-party-content,Neer Varshney,,,,,,
